ptop1,ptop2,id
.0089999996,.0089999996,5
.48500001,.48500001,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.024,.024,5
.025,.025,5
.025,.025,5
.025,.025,5
.48500001,.48500001,5
.53899997,.53899997,5
.025,.025,5
.48500001,.48500001,5
.025,.025,5
.0089999996,.0089999996,5
.024,.024,5
.39399999,.39399999,5
.48500001,.48500001,5
.054000001,.054000001,5
.48500001,.48500001,5
.024,.024,5
.025,.025,5
.48500001,.48500001,5
.025,.025,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.025,.025,5
.025,.025,5
.025,.025,5
.028000001,.028000001,5
.48500001,.48500001,5
.025,.025,5
.024,.024,5
.48500001,.48500001,5
.024,.024,5
.017999999,.017999999,5
.025,.025,5
.0089999996,.0089999996,5
.025,.025,5
.48500001,.48500001,5
.024,.024,5
.024,.024,5
.0089999996,.0089999996,5
.025,.025,5
.58899999,.58899999,5
.0089999996,.0089999996,5
.0040000002,.0040000002,5
.024,.024,5
.025,.025,5
.0089999996,.0089999996,5
.024,.024,5
.025,.025,5
.025,.025,5
.025,.025,5
.903,.903,5
.39300001,.39300001,5
.025,.025,5
.025,.025,5
.001,.001,5
.024,.024,5
.48500001,.48500001,5
.024,.024,5
.024,.024,5
.025,.025,5
.017000001,.017000001,5
.0089999996,.0089999996,5
.0089999996,.0089999996,5
.025,.025,5
.025,.025,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.025,.025,5
.025,.025,5
.024,.024,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.39399999,.39399999,5
0,0,5
.025,.025,5
.48500001,.48500001,5
.024,.024,5
.48500001,.48500001,5
.024,.024,5
.024,.024,5
.0089999996,.0089999996,5
.39300001,.39300001,5
.0089999996,.0089999996,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.024,.024,5
.48500001,.48500001,5
.87900001,.87900001,5
.017999999,.017999999,5
.024,.024,5
.48500001,.48500001,5
.024,.024,5
.024,.024,5
.48500001,.48500001,5
.0089999996,.0089999996,5
.024,.024,5
.024,.024,5
.024,.024,5
.0089999996,.0089999996,5
.017999999,.017999999,5
.044,.044,5
.024,.024,5
.903,.903,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.061999999,.061999999,5
.024,.024,5
.48500001,.48500001,5
.0089999996,.0089999996,5
.024,.024,5
0,0,5
.20200001,.20200001,5
.025,.025,5
.48500001,.48500001,5
.48500001,.48500001,5
.025,.025,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.48500001,.48500001,5
.48500001,.48500001,5
.0089999996,.0089999996,5
.024,.024,5
.0089999996,.0089999996,5
.024,.024,5
.48500001,.48500001,5
.025,.025,5
.0089999996,.0089999996,5
.017000001,.017000001,5
.044,.044,5
.0089999996,.0089999996,5
.025,.025,5
.48500001,.48500001,5
.87900001,.87900001,5
.48500001,.48500001,5
.024,.024,5
.48500001,.48500001,5
.025,.025,5
.025,.025,5
.48500001,.48500001,5
.0089999996,.0089999996,5
.024,.024,5
.024,.024,5
.0089999996,.0089999996,5
.024,.024,5
.48500001,.48500001,5
.53899997,.53899997,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.024,.024,5
.48500001,.48500001,5
.024,.024,5
.025,.025,5
.025,.025,5
.0089999996,.0089999996,5
.48500001,.48500001,5
.0089999996,.0089999996,5
.024,.024,5
.025,.025,5
.025,.025,5
.0089999996,.0089999996,5
.0089999996,.0089999996,5
.58899999,.58899999,5
.0089999996,.0089999996,5
.0089999996,.0089999996,5
.024,.024,5
.0089999996,.0089999996,5
.024,.024,5
.48500001,.48500001,5
.78200001,.78200001,5
.0089999996,.0089999996,5
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
.63599998,.63599998,7
.63599998,.63599998,7
.91600001,.91600001,7
.213,.213,7
.91600001,.91600001,7
.63599998,.63599998,7
.213,.213,7
.213,.213,7
.56800002,.56800002,7
.91600001,.91600001,7
.65499997,.65499997,7
0,0,8
.26699999,.26699999,8
.60100001,.60100001,8
0,0,8
.377,.377,8
.013,.013,8
.011,.011,8
.037,.037,8
.193,.193,8
.104,.104,8
.016000001,.016000001,8
.51300001,.51300001,8
.015,.015,8
.73500001,.73500001,8
.067000002,.067000002,8
0,0,8
.0089999996,.0089999996,8
.017999999,.017999999,8
.083999999,.083999999,8
.36899999,.36899999,8
0,0,8
.079000004,.079000004,8
.001,.001,8
.012,.012,8
.001,.001,8
.011,.011,8
0,0,8
0,0,8
.027000001,.027000001,8
.015,.015,8
0,0,9
.229,.229,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
.155,.155,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
.155,.155,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
.229,.229,9
.155,.155,9
0,0,9
0,0,9
0,0,9
0,0,9
.229,.229,9
0,0,9
.155,.155,9
0,0,9
0,0,9
0,0,9
.229,.229,9
.229,.229,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
.155,.155,9
0,0,9
0,0,9
0,0,9
0,0,9
.017000001,.017000001,10
0,0,10
0,0,10
.50700003,.50700003,10
.030999999,.030999999,10
0,0,10
.088,.088,10
.41800001,.41800001,10
.65600002,.65600002,10
0,0,10
.26300001,.26300001,10
0,0,10
.38,.38,10
.211,.211,10
0,0,10
.46700001,.46700001,11
.034000002,.034000002,11
0,0,11
.0020000001,.0020000001,11
.0020000001,.0020000001,11
.0040000002,.0040000002,11
0,0,11
.046,.046,11
0,0,11
.003,.003,11
.242,.242,11
.043000001,.043000001,11
.0020000001,.0020000001,11
.07,.07,11
.003,.003,11
.018999999,.018999999,11
.61900002,.61900002,11
.022,.022,11
.456,.456,11
.35100001,.35100001,11
0,0,11
.77899998,.77899998,11
.221,.221,11
0,0,11
.46599999,.46599999,11
.012,.012,11
.034000002,.034000002,11
0,0,11
.015,.015,11
.35100001,.35100001,11
.456,.456,11
.80500001,.80500001,11
.07,.07,11
.221,.221,11
.041999999,.041999999,11
0,0,11
.050999999,.050999999,11
.61900002,.61900002,11
.044,.044,11
.46599999,.46599999,11
.0060000001,.0060000001,11
.456,.456,11
.0020000001,.0020000001,11
.491,.491,11
.02,.02,11
.242,.242,11
.435,.435,11
.046,.046,11
.41,.41,11
.0089999996,.0089999996,11
.044,.044,11
.53899997,.53899997,11
.02,.02,11
0,0,11
.77899998,.77899998,11
.64399999,.64399999,12
0,0,12
.83200002,.83200002,12
.449,.449,12
.003,.003,12
0,0,12
.116,.116,12
.63099998,.63099998,12
.021,.021,12
.0089999996,.0089999996,12
.206,.206,12
.18000001,.18000001,12
.83200002,.83200002,12
.23899999,.23899999,12
.025,.025,12
.375,.375,12
.103,.103,12
.103,.103,12
.546,.546,12
.414,.414,12
.064000003,.064000003,12
.414,.414,12
.72100002,.72100002,12
.72100002,.72100002,12
.546,.546,12
.90200001,.90200001,12
.0020000001,.0020000001,12
.449,.449,12
.90200001,.90200001,12
