ptop1,ptop2,id
.0089999996,.0089999996,10
.48500001,.48500001,10
.024,.024,10
.025,.025,10
.025,.025,10
.025,.025,10
.48500001,.48500001,10
.53899997,.53899997,10
.025,.025,10
.48500001,.48500001,10
.025,.025,10
.0089999996,.0089999996,10
.024,.024,10
.39399999,.39399999,10
.48500001,.48500001,10
.054000001,.054000001,10
.48500001,.48500001,10
.024,.024,10
.025,.025,10
.48500001,.48500001,10
.025,.025,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.025,.025,10
.025,.025,10
.025,.025,10
.028000001,.028000001,10
.48500001,.48500001,10
.025,.025,10
.024,.024,10
.48500001,.48500001,10
.024,.024,10
.017999999,.017999999,10
.025,.025,10
.0089999996,.0089999996,10
.025,.025,10
.48500001,.48500001,10
.024,.024,10
.024,.024,10
.0089999996,.0089999996,10
.025,.025,10
.58899999,.58899999,10
.0089999996,.0089999996,10
.0040000002,.0040000002,10
.024,.024,10
.025,.025,10
.0089999996,.0089999996,10
.024,.024,10
.025,.025,10
.025,.025,10
.025,.025,10
.903,.903,10
.39300001,.39300001,10
.025,.025,10
.025,.025,10
.001,.001,10
.024,.024,10
.48500001,.48500001,10
.024,.024,10
.024,.024,10
.025,.025,10
.017000001,.017000001,10
.0089999996,.0089999996,10
.0089999996,.0089999996,10
.025,.025,10
.025,.025,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.025,.025,10
.025,.025,10
.024,.024,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.39399999,.39399999,10
0,0,10
.025,.025,10
.48500001,.48500001,10
.024,.024,10
.48500001,.48500001,10
.024,.024,10
.024,.024,10
.0089999996,.0089999996,10
.39300001,.39300001,10
.0089999996,.0089999996,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.024,.024,10
.48500001,.48500001,10
.87900001,.87900001,10
.017999999,.017999999,10
.024,.024,10
.48500001,.48500001,10
.024,.024,10
.024,.024,10
.48500001,.48500001,10
.0089999996,.0089999996,10
.024,.024,10
.024,.024,10
.024,.024,10
.0089999996,.0089999996,10
.017999999,.017999999,10
.044,.044,10
.024,.024,10
.903,.903,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.061999999,.061999999,10
.024,.024,10
.48500001,.48500001,10
.0089999996,.0089999996,10
.024,.024,10
0,0,10
.20200001,.20200001,10
.025,.025,10
.48500001,.48500001,10
.48500001,.48500001,10
.025,.025,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.48500001,.48500001,10
.48500001,.48500001,10
.0089999996,.0089999996,10
.024,.024,10
.0089999996,.0089999996,10
.024,.024,10
.48500001,.48500001,10
.025,.025,10
.0089999996,.0089999996,10
.017000001,.017000001,10
.044,.044,10
.0089999996,.0089999996,10
.025,.025,10
.48500001,.48500001,10
.87900001,.87900001,10
.48500001,.48500001,10
.024,.024,10
.48500001,.48500001,10
.025,.025,10
.025,.025,10
.48500001,.48500001,10
.0089999996,.0089999996,10
.024,.024,10
.024,.024,10
.0089999996,.0089999996,10
.024,.024,10
.48500001,.48500001,10
.53899997,.53899997,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.024,.024,10
.48500001,.48500001,10
.024,.024,10
.025,.025,10
.025,.025,10
.0089999996,.0089999996,10
.48500001,.48500001,10
.0089999996,.0089999996,10
.024,.024,10
.025,.025,10
.025,.025,10
.0089999996,.0089999996,10
.0089999996,.0089999996,10
.58899999,.58899999,10
.0089999996,.0089999996,10
.0089999996,.0089999996,10
.024,.024,10
.0089999996,.0089999996,10
.024,.024,10
.48500001,.48500001,10
.78200001,.78200001,10
.0089999996,.0089999996,10
0,0,11
0,0,11
.176,.176,11
.045000002,.045000002,11
0,0,11
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
.63599998,.63599998,13
.63599998,.63599998,13
.91600001,.91600001,13
.213,.213,13
.91600001,.91600001,13
.63599998,.63599998,13
.213,.213,13
.213,.213,13
.56800002,.56800002,13
.91600001,.91600001,13
.65499997,.65499997,13
0,0,14
0,0,14
0,0,14
0,0,14
0,0,14
0,0,14
.064999998,.064999998,14
0,0,14
.84399998,.84399998,14
.97399998,.97399998,14
.001,.001,14
.75700003,.75700003,14
.49000001,.49000001,14
0,0,14
.32499999,.32499999,14
.45199999,.45199999,14
0,0,14
.52399999,.52399999,14
0,0,14
0,0,14
.001,.001,14
.046999998,.046999998,14
.26699999,.26699999,14
.2,.2,14
0,0,14
.579,.579,14
.061999999,.061999999,14
0,0,14
.71799999,.71799999,14
.25099999,.25099999,14
0,0,14
0,0,14
.0020000001,.0020000001,14
0,0,14
.13699999,.13699999,14
0,0,14
.69199997,.69199997,14
0,0,14
0,0,14
.389,.389,14
.27700001,.27700001,14
0,0,14
0,0,14
.824,.824,14
.044,.044,14
.124,.124,14
0,0,14
0,0,14
0,0,15
.26699999,.26699999,15
.60100001,.60100001,15
0,0,15
.377,.377,15
.013,.013,15
.011,.011,15
.037,.037,15
.193,.193,15
.104,.104,15
.016000001,.016000001,15
.51300001,.51300001,15
.015,.015,15
.73500001,.73500001,15
.067000002,.067000002,15
0,0,15
.0089999996,.0089999996,15
.017999999,.017999999,15
.083999999,.083999999,15
.36899999,.36899999,15
0,0,15
.079000004,.079000004,15
.001,.001,15
.012,.012,15
.001,.001,15
.011,.011,15
0,0,15
0,0,15
.027000001,.027000001,15
.015,.015,15
.097000003,.097000003,16
.093000002,.093000002,16
.093000002,.093000002,16
.958,.958,16
.097000003,.097000003,16
.958,.958,16
.958,.958,16
.097000003,.097000003,16
.093000002,.093000002,16
.093000002,.093000002,16
.093000002,.093000002,16
.097000003,.097000003,16
.958,.958,16
.958,.958,16
.097000003,.097000003,16
0,0,17
0,0,17
.108,.108,17
0,0,17
.028999999,.028999999,17
0,0,17
0,0,17
0,0,17
.044,.044,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
.003,.003,17
.035,.035,17
0,0,17
0,0,17
.12800001,.12800001,17
0,0,17
.045000002,.045000002,17
.045000002,.045000002,17
0,0,17
.035,.035,17
0,0,17
0,0,17
.033,.033,17
.12800001,.12800001,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
.033,.033,17
0,0,17
.044,.044,17
0,0,17
0,0,17
0,0,18
.229,.229,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
.155,.155,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
.155,.155,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
.229,.229,18
.155,.155,18
0,0,18
0,0,18
0,0,18
0,0,18
.229,.229,18
0,0,18
.155,.155,18
0,0,18
0,0,18
0,0,18
.229,.229,18
.229,.229,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
