ptop1,ptop2,id
.64099997,.64099997,13
.53500003,.53500003,13
.736,.736,13
.736,.736,13
.55699998,.55699998,13
.030999999,.030999999,13
.51499999,.51499999,13
.0080000004,.0080000004,13
.243,.243,13
.0049999999,.0049999999,13
.001,.001,13
.53100002,.53100002,13
.61000001,.61000001,13
.83200002,.83200002,13
.78100002,.78100002,13
.79799998,.79799998,13
.88099998,.88099998,13
.192,.192,13
.86900002,.86900002,13
.001,.001,13
.192,.192,13
.85900003,.85900003,13
.36000001,.36000001,13
.001,.001,13
.43799999,.43799999,13
.87400001,.87400001,13
.98199999,.98199999,13
.014,.014,13
.208,.208,13
.63099998,.63099998,13
.29800001,.29800001,13
.76999998,.76999998,13
.98199999,.98199999,13
.79400003,.79400003,13
.54100001,.54100001,13
.208,.208,13
.77100003,.77100003,13
.0089999996,.0089999996,13
.949,.949,13
.82999998,.82999998,13
0,0,13
.29800001,.29800001,13
.0049999999,.0049999999,13
.87,.87,13
.026000001,.026000001,14
.026000001,.026000001,14
.015,.015,15
.015,.015,15
.048,.048,15
.23999999,.23999999,15
.23999999,.23999999,15
.048,.048,15
.039999999,.039999999,15
.039999999,.039999999,15
.039999999,.039999999,15
.23999999,.23999999,15
.23999999,.23999999,15
.015,.015,15
.048,.048,15
.039999999,.039999999,15
.048,.048,15
.015,.015,15
.0040000002,.0040000002,16
.244,.244,16
.003,.003,16
.012,.012,16
.0040000002,.0040000002,16
.46000001,.46000001,16
.003,.003,16
.148,.148,16
.016000001,.016000001,16
.46000001,.46000001,16
.244,.244,16
.148,.148,16
.044,.044,16
.012,.012,16
.044,.044,16
.016000001,.016000001,16
.017000001,.017000001,17
.032000002,.032000002,17
.048,.048,17
.079000004,.079000004,17
.056000002,.056000002,18
.048,.048,19
.27599999,.27599999,19
.001,.001,19
0,0,19
.021,.021,19
0,0,19
.87800002,.87800002,19
.017000001,.017000001,19
0,0,19
.26100001,.26100001,19
.0060000001,.0060000001,19
0,0,19
.001,.001,19
.551,.551,19
.43200001,.43200001,19
0,0,19
0,0,19
.1,.1,19
0,0,19
0,0,19
.92900002,.92900002,19
.027000001,.027000001,19
.78299999,.78299999,19
.048,.048,19
.68099999,.68099999,19
.056000002,.056000002,19
.296,.296,19
.22400001,.22400001,19
.243,.243,19
0,0,19
.0020000001,.0020000001,19
.91000003,.91000003,19
.0040000002,.0040000002,19
.39399999,.39399999,19
.0020000001,.0020000001,19
.60799998,.60799998,19
.064999998,.064999998,19
.024,.024,19
0,0,19
.077,.077,19
.090000004,.090000004,19
0,0,19
0,0,19
0,0,19
.088,.088,19
0,0,19
.34,.34,19
.248,.248,19
.56800002,.56800002,19
.050999999,.050999999,20
.15899999,.15899999,20
.123,.123,20
.123,.123,20
.123,.123,20
.15899999,.15899999,20
.106,.106,20
.050999999,.050999999,20
.050999999,.050999999,20
.123,.123,20
.177,.177,20
.141,.141,20
.141,.141,20
.141,.141,20
.117,.117,20
.141,.141,20
.36899999,.36899999,20
.106,.106,20
.15899999,.15899999,20
.021,.021,20
.117,.117,20
.021,.021,20
.36899999,.36899999,20
.177,.177,20
.106,.106,20
.123,.123,20
.36899999,.36899999,20
.106,.106,20
.15899999,.15899999,20
.36899999,.36899999,20
.021,.021,20
.123,.123,20
.106,.106,20
.117,.117,20
.117,.117,20
.141,.141,20
.15899999,.15899999,20
.050999999,.050999999,20
.177,.177,20
.021,.021,20
.106,.106,20
.117,.117,20
.141,.141,20
.021,.021,20
.15899999,.15899999,20
.117,.117,20
.050999999,.050999999,20
.177,.177,20
.177,.177,20
.36899999,.36899999,20
.050999999,.050999999,20
.36899999,.36899999,20
.021,.021,20
.177,.177,20
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.02,.02,21
.028000001,.028000001,22
.028000001,.028000001,22
.035,.035,22
0,0,22
.035,.035,22
.028000001,.028000001,22
0,0,22
.028000001,.028000001,22
.028000001,.028000001,22
.035,.035,22
0,0,22
.035,.035,22
.035,.035,22
.035,.035,22
0,0,22
.028000001,.028000001,22
.035,.035,22
0,0,22
0,0,22
.035,.035,22
0,0,22
.046,.046,22
.035,.035,22
0,0,22
.028000001,.028000001,22
.041000001,.041000001,22
0,0,22
0,0,22
.028000001,.028000001,22
0,0,22
.035,.035,22
.028000001,.028000001,22
.035,.035,22
.028000001,.028000001,22
.028000001,.028000001,22
.003,.003,23
.178,.178,23
.001,.001,23
.18099999,.18099999,23
.0020000001,.0020000001,23
.001,.001,23
.0080000004,.0080000004,23
0,0,23
.0080000004,.0080000004,23
.0020000001,.0020000001,23
.18099999,.18099999,23
.003,.003,23
.40900001,.40900001,23
.024,.024,23
.0080000004,.0080000004,23
.097000003,.097000003,23
.86900002,.86900002,23
.048999999,.048999999,23
.097000003,.097000003,23
.018999999,.018999999,23
.0080000004,.0080000004,23
.003,.003,23
.72899997,.72899997,23
.046,.046,23
.149,.149,23
.0089999996,.0089999996,23
.021,.021,23
.030999999,.030999999,23
.449,.449,23
.003,.003,23
.178,.178,23
.021,.021,23
.011,.011,23
.149,.149,23
.12,.12,23
.011,.011,23
.013,.013,23
.14300001,.14300001,23
.0040000002,.0040000002,23
0,0,23
.0060000001,.0060000001,23
.013,.013,23
.0089999996,.0089999996,23
.011,.011,23
.0049999999,.0049999999,23
.039999999,.039999999,23
.028000001,.028000001,23
.018999999,.018999999,23
.0049999999,.0049999999,23
.024,.024,23
.022,.022,23
.509,.509,23
.0099999998,.0099999998,23
0,0,23
.015,.015,23
.514,.514,23
.42899999,.42899999,23
.028999999,.028999999,23
.030999999,.030999999,23
.26699999,.26699999,23
.037999999,.037999999,23
.001,.001,23
.509,.509,23
.022,.022,23
.0080000004,.0080000004,23
.449,.449,23
.0089999996,.0089999996,23
.030999999,.030999999,23
.059,.059,23
.2,.2,23
.86900002,.86900002,23
.796,.796,23
.149,.149,23
.001,.001,23
.56999999,.56999999,23
.003,.003,23
.011,.011,23
.015,.015,23
.42899999,.42899999,23
.73100001,.73100001,23
.003,.003,23
.16599999,.16599999,23
.0099999998,.0099999998,23
.001,.001,23
.514,.514,23
.017000001,.017000001,23
.0020000001,.0020000001,23
.14300001,.14300001,23
.0049999999,.0049999999,23
.0070000002,.0070000002,23
.0040000002,.0040000002,23
0,0,23
.38,.38,23
.16599999,.16599999,23
.0070000002,.0070000002,23
.0049999999,.0049999999,23
.017000001,.017000001,23
.0040000002,.0040000002,23
.052000001,.052000001,23
.26699999,.26699999,23
.059,.059,23
.0020000001,.0020000001,23
.052000001,.052000001,23
.003,.003,23
.23,.23,23
.796,.796,23
.40900001,.40900001,23
.001,.001,23
.0089999996,.0089999996,23
.72899997,.72899997,23
.73100001,.73100001,23
